"type","path","description","method_type"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_10K.png","Table/status artifact: DerivativeShape wait 3s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_14K.png","Table/status artifact: DerivativeShape wait 3s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_18K.png","Table/status artifact: DerivativeShape wait 3s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_22K.png","Table/status artifact: DerivativeShape wait 3s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_26K.png","Table/status artifact: DerivativeShape wait 3s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_6K.png","Table/status artifact: DerivativeShape wait 3s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_10K.png","Table/status artifact: DerivativeShape wait 60min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_14K.png","Table/status artifact: DerivativeShape wait 60min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_18K.png","Table/status artifact: DerivativeShape wait 60min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_22K.png","Table/status artifact: DerivativeShape wait 60min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_26K.png","Table/status artifact: DerivativeShape wait 60min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_30K.png","Table/status artifact: DerivativeShape wait 60min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_34K.png","Table/status artifact: DerivativeShape wait 60min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_6K.png","Table/status artifact: DerivativeShape wait 60min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_10K.png","Table/status artifact: DerivativeShape wait 6min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_14K.png","Table/status artifact: DerivativeShape wait 6min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_18K.png","Table/status artifact: DerivativeShape wait 6min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_22K.png","Table/status artifact: DerivativeShape wait 6min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_26K.png","Table/status artifact: DerivativeShape wait 6min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_30K.png","Table/status artifact: DerivativeShape wait 6min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_34K.png","Table/status artifact: DerivativeShape wait 6min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_6K.png","Table/status artifact: DerivativeShape wait 6min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_DeltaM_map.fig","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_DeltaM_map.pdf","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_DeltaM_map.png","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_svd_singular_spectrum.fig","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_svd_singular_spectrum.pdf","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/figures/aging_svd_singular_spectrum.png","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/observables.csv","Table/status artifact: observables","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/review/aging_run_review.zip","Table/status artifact: aging run review","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/DeltaM_map.csv","Table/status artifact: DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/observable_matrix.csv","Table/status artifact: observable matrix","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/observable_mode_correlations.csv","Table/status artifact: observable mode correlations","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/svd_mode_coefficients.csv","Table/status artifact: svd mode coefficients","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/svd_singular_values.csv","Table/status artifact: svd singular values","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/svd_U.csv","Table/status artifact: svd U","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/svd_V.csv","Table/status artifact: svd V","decomposition"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/T_axis.csv","Table/status artifact: T axis","unknown"
"table","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/tables/tw_axis.csv","Table/status artifact: tw axis","unknown"
"table","results/aging/runs/run_2026_03_10_222534_MG119_3sec/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_222534_MG119_3sec/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_222534_MG119_3sec/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_222604_MG119_36sec/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_222604_MG119_36sec/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_222604_MG119_36sec/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_222613_MG119_6min/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_222613_MG119_6min/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_222613_MG119_6min/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_222624_MG119_60min/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_222624_MG119_60min/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_222624_MG119_60min/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_10K.png","Table/status artifact: DerivativeShape wait 36s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_14K.png","Table/status artifact: DerivativeShape wait 36s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_18K.png","Table/status artifact: DerivativeShape wait 36s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_22K.png","Table/status artifact: DerivativeShape wait 36s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_26K.png","Table/status artifact: DerivativeShape wait 36s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_30K.png","Table/status artifact: DerivativeShape wait 36s Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_34K.png","Table/status artifact: DerivativeShape wait 36s Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_6K.png","Table/status artifact: DerivativeShape wait 36s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_10K.png","Table/status artifact: DerivativeShape wait 3s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_14K.png","Table/status artifact: DerivativeShape wait 3s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_18K.png","Table/status artifact: DerivativeShape wait 3s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_22K.png","Table/status artifact: DerivativeShape wait 3s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_26K.png","Table/status artifact: DerivativeShape wait 3s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_6K.png","Table/status artifact: DerivativeShape wait 3s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_10K.png","Table/status artifact: DerivativeShape wait 60min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_14K.png","Table/status artifact: DerivativeShape wait 60min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_18K.png","Table/status artifact: DerivativeShape wait 60min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_22K.png","Table/status artifact: DerivativeShape wait 60min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_26K.png","Table/status artifact: DerivativeShape wait 60min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_30K.png","Table/status artifact: DerivativeShape wait 60min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_34K.png","Table/status artifact: DerivativeShape wait 60min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_6K.png","Table/status artifact: DerivativeShape wait 60min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_10K.png","Table/status artifact: DerivativeShape wait 6min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_14K.png","Table/status artifact: DerivativeShape wait 6min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_18K.png","Table/status artifact: DerivativeShape wait 6min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_22K.png","Table/status artifact: DerivativeShape wait 6min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_26K.png","Table/status artifact: DerivativeShape wait 6min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_30K.png","Table/status artifact: DerivativeShape wait 6min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_34K.png","Table/status artifact: DerivativeShape wait 6min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_6K.png","Table/status artifact: DerivativeShape wait 6min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_DeltaM_map.fig","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_DeltaM_map.pdf","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_DeltaM_map.png","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_svd_singular_spectrum.fig","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_svd_singular_spectrum.pdf","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/figures/aging_svd_singular_spectrum.png","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/observables.csv","Table/status artifact: observables","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/review/aging_run_review.zip","Table/status artifact: aging run review","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/DeltaM_map.csv","Table/status artifact: DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/observable_matrix.csv","Table/status artifact: observable matrix","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/observable_mode_correlations.csv","Table/status artifact: observable mode correlations","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/svd_mode_coefficients.csv","Table/status artifact: svd mode coefficients","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/svd_singular_values.csv","Table/status artifact: svd singular values","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/svd_U.csv","Table/status artifact: svd U","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/svd_V.csv","Table/status artifact: svd V","decomposition"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/T_axis.csv","Table/status artifact: T axis","unknown"
"table","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/tables/tw_axis.csv","Table/status artifact: tw axis","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_10K.png","Table/status artifact: DerivativeShape wait 36s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_14K.png","Table/status artifact: DerivativeShape wait 36s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_18K.png","Table/status artifact: DerivativeShape wait 36s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_22K.png","Table/status artifact: DerivativeShape wait 36s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_26K.png","Table/status artifact: DerivativeShape wait 36s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_30K.png","Table/status artifact: DerivativeShape wait 36s Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_34K.png","Table/status artifact: DerivativeShape wait 36s Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_6K.png","Table/status artifact: DerivativeShape wait 36s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_10K.png","Table/status artifact: DerivativeShape wait 3s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_14K.png","Table/status artifact: DerivativeShape wait 3s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_18K.png","Table/status artifact: DerivativeShape wait 3s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_22K.png","Table/status artifact: DerivativeShape wait 3s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_26K.png","Table/status artifact: DerivativeShape wait 3s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_6K.png","Table/status artifact: DerivativeShape wait 3s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_10K.png","Table/status artifact: DerivativeShape wait 60min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_14K.png","Table/status artifact: DerivativeShape wait 60min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_18K.png","Table/status artifact: DerivativeShape wait 60min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_22K.png","Table/status artifact: DerivativeShape wait 60min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_26K.png","Table/status artifact: DerivativeShape wait 60min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_30K.png","Table/status artifact: DerivativeShape wait 60min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_34K.png","Table/status artifact: DerivativeShape wait 60min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_60min_Tp_6K.png","Table/status artifact: DerivativeShape wait 60min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_10K.png","Table/status artifact: DerivativeShape wait 6min Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_14K.png","Table/status artifact: DerivativeShape wait 6min Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_18K.png","Table/status artifact: DerivativeShape wait 6min Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_22K.png","Table/status artifact: DerivativeShape wait 6min Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_26K.png","Table/status artifact: DerivativeShape wait 6min Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_30K.png","Table/status artifact: DerivativeShape wait 6min Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_34K.png","Table/status artifact: DerivativeShape wait 6min Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_6min_Tp_6K.png","Table/status artifact: DerivativeShape wait 6min Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_DeltaM_map.fig","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_DeltaM_map.pdf","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_DeltaM_map.png","Table/status artifact: aging DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_svd_singular_spectrum.fig","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_svd_singular_spectrum.pdf","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/figures/aging_svd_singular_spectrum.png","Table/status artifact: aging svd singular spectrum","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/log.txt","Table/status artifact: log","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/observables.csv","Table/status artifact: observables","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/review/aging_run_review.zip","Table/status artifact: aging run review","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/run_notes.txt","Table/status artifact: run notes","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/run_review.json","Table/status artifact: run review","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/DeltaM_map.csv","Table/status artifact: DeltaM map","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/observable_matrix.csv","Table/status artifact: observable matrix","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/observable_mode_correlations.csv","Table/status artifact: observable mode correlations","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/svd_mode_coefficients.csv","Table/status artifact: svd mode coefficients","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/svd_singular_values.csv","Table/status artifact: svd singular values","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/svd_U.csv","Table/status artifact: svd U","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/svd_V.csv","Table/status artifact: svd V","decomposition"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/T_axis.csv","Table/status artifact: T axis","unknown"
"table","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/tables/tw_axis.csv","Table/status artifact: tw axis","unknown"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_10K.png","Table/status artifact: DerivativeShape wait 36s Tp 10K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_14K.png","Table/status artifact: DerivativeShape wait 36s Tp 14K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_18K.png","Table/status artifact: DerivativeShape wait 36s Tp 18K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_22K.png","Table/status artifact: DerivativeShape wait 36s Tp 22K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_26K.png","Table/status artifact: DerivativeShape wait 36s Tp 26K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_30K.png","Table/status artifact: DerivativeShape wait 36s Tp 30K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_34K.png","Table/status artifact: DerivativeShape wait 36s Tp 34K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_36s_Tp_6K.png","Table/status artifact: DerivativeShape wait 36s Tp 6K","decomposition"
"table","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/decomposition/derivative_shapes/DerivativeShape_wait_3s_Tp_10K.png","Table/status artifact: DerivativeShape wait 3s Tp 10K","decomposition"
