"script_path","uses_template_style","has_run_context","has_required_outputs","has_rethrow","compliant"
"General ver2/Plot Metadata API ver1/applyAxisPolicy.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/applyLegend.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/applyTitle.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/applyXLabel.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/applyYLabel.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/getPlotStylePreset.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/physLabel.m","NO","NO","NO","NO","NO"
"General ver2/Plot Metadata API ver1/resolveAxesTextPresetArgs.m","NO","NO","NO","NO","NO"
"General ver2/read_data.m","NO","NO","NO","NO","NO"
"General ver2/read_data_old_ppms.m","NO","NO","NO","NO","NO"
"General ver2/resolve_norm_indices.m","NO","NO","NO","NO","NO"
"General ver2/resolve_preset.m","NO","NO","NO","NO","NO"
"General ver2/resolveLabelForKey.m","NO","NO","NO","NO","NO"
"General ver2/select_preset.m","NO","NO","NO","NO","NO"
"General ver2/Tiks.m","NO","NO","NO","NO","NO"
"GenerateREADME.m","NO","NO","NO","NO","NO"
"github_repo/cmocean/cmocean.m","NO","NO","NO","NO","NO"
"github_repo/cmocean/cmocean_documentation.m","NO","NO","NO","NO","NO"
"github_repo/cmocean/import_cmoceam.m","NO","NO","NO","NO","NO"
"github_repo/ScientificColourMaps8/loadScientificColourMaps.m","NO","NO","NO","NO","NO"
"GUIs/applyColormapToDataLines.m","NO","NO","NO","NO","NO"
"GUIs/composeManuscriptFigure.m","NO","NO","NO","NO","NO"
"GUIs/CtrlGUI.m","NO","NO","NO","NO","NO"
"GUIs/FCS_applyAxisPolicy.m","NO","NO","NO","NO","NO"
"GUIs/FCS_applyColormap.m","NO","NO","NO","NO","NO"
"GUIs/FCS_applyFontSize.m","NO","NO","NO","NO","NO"
"GUIs/FCS_applyLegend.m","NO","NO","NO","NO","NO"
"GUIs/FCS_applyTypography.m","NO","NO","NO","NO","NO"
"GUIs/FCS_export.m","NO","NO","NO","YES","NO"
"GUIs/FCS_getPrimaryAxes.m","NO","NO","NO","NO","NO"
"GUIs/FCS_getTypographyProfile.m","NO","NO","NO","NO","NO"
"GUIs/FCS_listTypographyProfiles.m","NO","NO","NO","NO","NO"
"GUIs/FCS_normalizeTexStrings.m","NO","NO","NO","NO","NO"
"GUIs/FCS_prepareExportFigure.m","NO","NO","NO","NO","NO"
"GUIs/FCS_resolveTargets.m","NO","NO","NO","NO","NO"
"GUIs/FCS_restoreExportFigureState.m","NO","NO","NO","NO","NO"
"GUIs/FCS_setColormapOnly.m","NO","NO","NO","NO","NO"
"GUIs/FigureControlStudio.m","NO","NO","NO","NO","NO"
"GUIs/FinalFigureFormatterGUI.m","NO","NO","NO","NO","NO"
"GUIs/FinalFigureFormatterUI.m","NO","NO","NO","NO","NO"
"GUIs/SmartFigureEngine.m","NO","NO","NO","NO","NO"
"GUIs/test_architecture_fixes.m","NO","NO","NO","NO","NO"
"GUIs/test_compose_annotation_zorder.m","NO","NO","NO","NO","NO"
"GUIs/test_compose_annotation_zorder_direct.m","NO","NO","NO","NO","NO"
"GUIs/test_FCS_state_persistence_audit.m","NO","NO","NO","NO","NO"
"GUIs/test_improvements.m","NO","NO","NO","NO","NO"
"GUIs/test_layout_fixes.m","NO","NO","NO","NO","NO"
"GUIs/test_paper_width_calculator.m","NO","NO","NO","NO","NO"
"GUIs/test_ui_integration.m","NO","NO","NO","NO","NO"
"GUIs/tests/engine_apply_probe.m","NO","NO","NO","NO","NO"
"GUIs/tests/engine_parse_probe.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/_single_fig_smoke.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/ANALYZE_FIG_QUALITY.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/BATCH_FIX_AGING_FIGURES.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/CHECK_COLORMAP_FUNCTIONALITY.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/CtrlGUI.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/DIAGNOSE_SCM8_Path.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/FinalFigureFormatterGUI.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/FIND_ALL_COLORMAPS.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/PARANOIA_EdgeCaseTests.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/refLineGUI.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/RUN_URGENT_VALIDATION.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/SCM8_DETECTION_DOCUMENTATION.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_AllColormapsIntegrity.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/test_final_nested_scope_regression.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_FinalFigureFormatterUI.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_Improved_SCM8_Detection.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_Improved_SCM8_Simple.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/test_nested_scope_fix.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/test_required_fixes.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_SCM8_Detection.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/test_ui.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/test_uifigure_fix.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/TEST_WindowCreationFix.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/VALIDATE_ColormapPreview.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/VALIDATE_FinalFigureFormatterUI_Complete.m","NO","NO","NO","NO","NO"
"GUIs/tests/legacy/verify_nested_scope_complete.m","NO","NO","NO","NO","NO"
"GUIs/tests/phase21_validation.m","NO","NO","NO","NO","NO"
"GUIs/tests/phase21_validation_runner.m","NO","NO","NO","NO","NO"
"GUIs/tests/smoke_test_annotation_style.m","NO","NO","NO","NO","NO"
"HC ver1/analysisAndFittHC.m","NO","NO","NO","NO","NO"
"HC ver1/cleanDataForCoolingOrHeating.m","NO","NO","NO","NO","NO"
"HC ver1/getFileListHC.m","NO","NO","NO","NO","NO"
"HC ver1/HC_main.m","NO","NO","NO","NO","NO"
"HC ver1/importFilesHC.m","NO","NO","NO","NO","NO"
"HC ver1/importOneFileHC.m","NO","NO","NO","NO","NO"
"HC ver1/PlotsHC.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/FINAL_INTEGRATION_TEST.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical.m","NO","YES","NO","YES","NO"
"junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_exec.m","NO","YES","NO","YES","NO"
"junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_final.m","NO","YES","NO","YES","NO"
"junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_wrapper.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/test_aging_trace_structure_minimal.m","NO","YES","NO","YES","NO"
"junk/aging_trace_structure_attempt/validate_matlab_syntax_direct.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/validate_syntax_final.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/verify_aging_trace_structure_final.m","NO","NO","NO","NO","NO"
"junk/aging_trace_structure_attempt/verify_matlab_environment.m","NO","NO","NO","NO","NO"
"MH ver1/clean_MH_data.m","NO","NO","NO","NO","NO"
"MH ver1/detect_MH_file_type.m","NO","NO","NO","NO","NO"
"MH ver1/divideByStableTemperatures.m","NO","NO","NO","NO","NO"
"MH ver1/getFileList_MH.m","NO","NO","NO","NO","NO"
"MH ver1/importFiles_MH.m","NO","NO","NO","NO","NO"
"MH ver1/importOneFile_MH.m","NO","NO","NO","NO","NO"
"MH ver1/importOneFile_MH_diff_temps.m","NO","NO","NO","NO","NO"
"MH ver1/importOneFile_MH_diff_temps_MPMS.m","NO","NO","NO","NO","NO"
"MH ver1/importOneFile_MH_MPMS.m","NO","NO","NO","NO","NO"
"MH ver1/MH_main.m","NO","NO","NO","NO","NO"
"MH ver1/parse_MH_metadata.m","NO","NO","NO","NO","NO"
"MH ver1/Plots_MH.m","NO","NO","NO","NO","NO"
"MT ver2/add_MT_legend.m","NO","NO","NO","NO","NO"
"MT ver2/analysisAndFitt_MT.m","NO","NO","NO","NO","NO"
"MT ver2/buildMagneticYLabel.m","NO","NO","NO","NO","NO"
"MT ver2/clean_MT_data.m","NO","NO","NO","NO","NO"
"MT ver2/compute_unitsRatio_MT.m","NO","NO","NO","NO","NO"
"MT ver2/detect_MT_file_type.m","NO","NO","NO","NO","NO"
"MT ver2/find_decreasing_temperature_segments_MT.m","NO","NO","NO","NO","NO"
"MT ver2/find_increasing_temperature_segments_MT.m","NO","NO","NO","NO","NO"
"MT ver2/getFileList_MT.m","NO","NO","NO","NO","NO"
"MT ver2/importFiles_MT.m","NO","NO","NO","NO","NO"
"MT ver2/importOneFile_MT.m","NO","NO","NO","NO","NO"
"MT ver2/importOneFile_MT_MPMS.m","NO","NO","NO","NO","NO"
"MT ver2/MT_main.m","NO","NO","NO","NO","NO"
"MT ver2/plot_founded_decreasing_temperature_segments_MT.m","NO","NO","NO","NO","NO"
"MT ver2/plot_founded_increasing_temperature_segments_MT.m","NO","NO","NO","NO","NO"
"MT ver2/plot_MT_2D_maps_segments.m","NO","NO","NO","NO","NO"
"MT ver2/Plots_MT.m","NO","NO","NO","NO","NO"
"MT ver2/Plots_MT_combined.m","NO","NO","NO","NO","NO"
"MT ver2/Plots_MT_Tcuts.m","NO","NO","NO","NO","NO"
"PS ver4/apply_fieldwise_smoothing.m","NO","NO","NO","NO","NO"
"PS ver4/apply_median_and_smooth_per_sweep.m","NO","NO","NO","NO","NO"
"PS ver4/clean_after_normalization.m","NO","NO","NO","NO","NO"
"PS ver4/filter_AMR_channels.m","NO","NO","NO","NO","NO"
"PS ver4/fitTwoSineFixedB.m","NO","NO","NO","NO","NO"
"PS ver4/latex_from_plain_label.m","NO","NO","NO","NO","NO"
"PS ver4/normalize_index_for_channel.m","NO","NO","NO","NO","NO"
"PS ver4/parse_number_list.m","NO","NO","NO","NO","NO"
"PS ver4/parse_TB_from_filename.m","NO","NO","NO","NO","NO"
"PS ver4/plain_label.m","NO","NO","NO","NO","NO"
"PS ver4/plot_from_filename_T_by_B.m","NO","NO","NO","NO","NO"
"PS ver4/plot_T_by_B.m","NO","NO","NO","NO","NO"
"PS ver4/PS_main.m","NO","NO","NO","NO","NO"
"PS ver4/remove_outliers.m","NO","NO","NO","NO","NO"
"PS ver4/smart_fill.m","NO","NO","NO","NO","NO"
"PS ver4/smooth_angle_loess.m","NO","NO","NO","NO","NO"
"Relaxation ver3/aging_geometry_visualization.m","NO","NO","NO","NO","NO"
"Relaxation ver3/analyzeRelaxationAdvanced.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/analyze_relaxation_derivative_smoothing.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/compare_relaxation_models.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/compute_relaxation_coordinates.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/diagnose_tau_beta_degeneracy.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/relaxation_corrected_geometry_analysis.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/render_relaxation_derivative_interpretable.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_beta_T_audit.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_coordinate_audit.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_coordinate_extraction.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_derivative_smoothing_run.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_geometry_observables.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_measurement_focused_t0_norm_window_script.m","YES","YES","YES","YES","YES"
"Relaxation ver3/diagnostics/run_relaxation_measurement_robustness_audit_script.m","YES","YES","YES","YES","YES"
"Relaxation ver3/diagnostics/run_relaxation_observable_stability_audit.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_svd_audit.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_time_mode_analysis.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/run_relaxation_timelaw_observables.m","NO","YES","NO","NO","NO"
"Relaxation ver3/diagnostics/survey_relaxation_observables.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/validate_relaxation_band_boundaries.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/visualize_relaxation_band_maps.m","NO","NO","NO","NO","NO"
"Relaxation ver3/diagnostics/visualize_relaxation_geometry.m","NO","NO","NO","NO","NO"
"Relaxation ver3/fitAllRelaxations.m","NO","NO","NO","NO","NO"
"Relaxation ver3/fitLogRelaxation.m","NO","NO","NO","NO","NO"
"Relaxation ver3/fitRelaxationModel.m","NO","NO","NO","NO","NO"
"Relaxation ver3/fitStretchedExp.m","NO","NO","NO","NO","NO"
"Relaxation ver3/getFileList_relaxation.m","NO","NO","NO","NO","NO"
"Relaxation ver3/getScalar.m","NO","NO","NO","NO","NO"
"Relaxation ver3/importFiles_relaxation.m","NO","NO","NO","NO","NO"
"Relaxation ver3/main_relaxation.m","NO","NO","NO","NO","NO"
"Relaxation ver3/overlayRelaxationFits.m","NO","NO","NO","NO","NO"
"Relaxation ver3/pickRelaxWindow.m","NO","NO","NO","NO","NO"
"Relaxation ver3/plotArrhenius.m","NO","NO","NO","NO","NO"
"Relaxation ver3/plotRelaxationCollapse.m","NO","NO","NO","NO","NO"
"Relaxation ver3/plotRelaxationFits.m","NO","NO","NO","NO","NO"
"Relaxation ver3/plotRelaxationParamsVsTemp.m","NO","NO","NO","NO","NO"
"Relaxation ver3/Plots_relaxation.m","NO","NO","NO","NO","NO"
"Relaxation ver3/relaxation_config_helper.m","NO","NO","NO","NO","NO"
"Relaxation ver3/relaxation_perturbation_matrix_report.m","YES","YES","YES","YES","YES"
"Relaxation ver3/run_relaxation_canonical.m","YES","YES","YES","YES","YES"
"Relaxation ver3/run_relaxation_canonical_script.m","NO","NO","NO","NO","NO"
"Relaxation ver3/run_relaxation_perturbation_demo.m","YES","YES","YES","YES","YES"
"Relaxation ver3/scalarOrNaN.m","NO","NO","NO","NO","NO"
"Relaxation ver3/showRelaxationFitTable.m","NO","NO","NO","NO","NO"
"Relaxation ver3/testAdvancedRelaxationRegression.m","NO","NO","NO","NO","NO"
"repo_state_generator.m","NO","NO","NO","YES","NO"
"repo_state_validator.m","NO","NO","NO","NO","NO"
"reports/functional_form_test_analysis.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/ACHC_RH_main.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/analysisAndFittRHC.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/getFileListRHC.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/importFilesRHC.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/importOneFileRHC.m","NO","NO","NO","NO","NO"
"Resistivity MagLab ver1/PlotsRHC.m","NO","NO","NO","NO","NO"
"Resistivity ver6/build_resistivity_analysis_table.m","NO","NO","NO","NO","NO"
"Resistivity ver6/clean_after_normalization.m","NO","NO","NO","NO","NO"
"Resistivity ver6/clean_resistivity_curve_auto.m","NO","NO","NO","NO","NO"
"Resistivity ver6/read_and_combine_resistivity _tables.m","NO","NO","NO","NO","NO"
"Resistivity ver6/remove_outliers_simple.m","NO","NO","NO","NO","NO"
"Resistivity ver6/Resistivity_analysis.m","NO","NO","NO","NO","NO"
"Resistivity ver6/Resistivity_import_data.m","NO","NO","NO","NO","NO"
"Resistivity ver6/Resistivity_main.m","NO","NO","NO","NO","NO"
"Resistivity ver6/Resistivity_plot_results.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_09_014130_MG119_3sec/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_09_124648_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_09_130918_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_09_140848_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_09_141328_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_112842_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_145239_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_150549_geometry_visualization/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_171522_observable_mode_correlation/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_200643_observable_mode_correlation/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_215702_tp_27_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_220156_tp_27_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_222534_MG119_3sec/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_222604_MG119_36sec/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_222613_MG119_6min/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_222624_MG119_60min/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_225902_tp_18_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_231114_tp_22_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_231719_tp_26_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_232934_tp_34_structured_export/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_10_235137_tp_sweep_summary/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_11_011643_observable_identification_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_11_030129_aging_shape_collapse_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_11_030129_aging_shape_collapse_analysis_01/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_11_082451_aging_shape_collapse_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_211204_aging_dataset_build/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_213819_aging_log_time_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_213923_aging_component_clock_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_213929_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_214012_aging_log_time_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_214126_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_214127_aging_component_clock_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_222238_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_223427_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_223709_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_223712_aging_log_time_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_223741_aging_component_clock_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_224309_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_224808_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_225058_aging_component_clock_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_225559_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_225842_aging_component_clock_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_225857_aging_timescale_extraction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_230511_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_232904_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_233337_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_12_233710_aging_time_rescaling_collapse/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_003251_aging_fm_using_dip_clock/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_003818_aging_fm_using_dip_clock/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_004253_aging_fm_using_dip_clock/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_005134_aging_fm_using_dip_clock/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_005805_aging_fm_using_extracted_dip_tau/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_010148_aging_fm_using_extracted_dip_tau/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_011143_aging_fm_timescale_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_012211_aging_fm_timescale_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_13_013634_aging_fm_timescale_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_070731_tri_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_070929_tri_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_071151_tri_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_071722_tri_scaling_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_073402_TRI_cross_temperature_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_073850_TRI_clock_consistency_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_074027_TRI_clock_consistency_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_074415_TRI_clock_consistency_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_074701_TRI_clock_consistency_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_075006_TRI_clock_consistency_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_130940_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_131220_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_131833_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_132250_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_132559_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_133454_clock_ratio_temperature_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_14_152820_clock_ratio_lower_support_audit/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_2026_03_16_023652_aging_clock_ratio_temperature_scaling/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_baseline_tests/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_debug_runs/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_decomposition/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_decomposition_stability/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_diagnostics_misc/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_separability/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_legacy_svd_pca/config_snapshot.m","NO","NO","NO","NO","NO"
"results/aging/runs/run_TRI_collapse_diagnostics/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_analysis/runs/run_legacy_cross_analysis/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_205157_relaxation_switching_knee_comparison/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_205502_relaxation_switching_knee_comparison/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_205656_relaxation_switching_knee_comparison/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_220218_ridge_relaxation_comparison/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_225732_ridge_crossover_vs_relaxation/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_10_233449_simple_switching_vs_relaxation_search/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_11_025420_relaxation_switching_motion_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_11_084425_relaxation_switching_motion_test/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_11_092014_barrier_landscape_reconstruction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_11_092333_barrier_landscape_reconstruction/config_snapshot.m","NO","NO","NO","NO","NO"
"results/cross_experiment/runs/run_2026_03_11_093235_barrier_landscape_reconstruction/config_snapshot.m","NO","NO","NO","NO","NO"
