action_id,current_path,proposed_target_path,classification,reason,risk_level,references_found,requires_code_update,requires_lineage_check,safe_to_move_now,notes
RFP-105,run_relaxation_measurement_canonical_self_audit.m,Relaxation ver3/diagnostics/run_relaxation_measurement_canonical_self_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-106,run_relaxation_measurement_focused_t0_norm_window.m,Relaxation ver3/diagnostics/run_relaxation_measurement_focused_t0_norm_window.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-107,run_relaxation_temperature_scaling_wrapper.m,_legacy/root_declutter/run_relaxation_temperature_scaling_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-108,run_ridge_susceptibility_analysis_wrapper.m,_legacy/root_declutter/run_ridge_susceptibility_analysis_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-109,run_ridge_temperature_susceptibility_wrapper.m,_legacy/root_declutter/run_ridge_temperature_susceptibility_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-110,run_rmse_structure_vs_scale_closure_wrapper.m,_legacy/root_declutter/run_rmse_structure_vs_scale_closure_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-111,run_switching_creep_barrier_analysis_wrapper.m,_legacy/root_declutter/run_switching_creep_barrier_analysis_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-112,run_switching_creep_scaling_wrapper.m,_legacy/root_declutter/run_switching_creep_scaling_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-113,run_switching_threshold_residual_structure_wrapper.m,_legacy/root_declutter/run_switching_threshold_residual_structure_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-114,run_switching_width_roughness_competition_wrapper.m,_legacy/root_declutter/run_switching_width_roughness_competition_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-115,run_threshold_distribution_model.m,Switching/analysis/run_threshold_distribution_model.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-116,run_x_vs_r_predictor_comparison_wrapper.m,_legacy/root_declutter/run_x_vs_r_predictor_comparison_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-117,run_xx_relaxation_config2_chain.m,Relaxation ver3/diagnostics/run_xx_relaxation_config2_chain.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-118,run_xx_relaxation_validation.m,Relaxation ver3/diagnostics/run_xx_relaxation_validation.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-119,run2.exit,results/repository_audit/run2.exit,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-120,run2_full.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-121,script_asset_inventory.csv,tables/maintenance/script_asset_inventory.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,NO,NO,YES,NO,
RFP-122,snapshot_scientific_v3,reports/maintenance/snapshot_scientific_v3,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-123,source_of_truth_audit.csv,tables/maintenance/source_of_truth_audit.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,NO,NO,YES,NO,
RFP-124,source_of_truth_audit_no_run_classified.csv,tables/maintenance/source_of_truth_audit_no_run_classified.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,NO,NO,YES,NO,
RFP-125,source_of_truth_likely_run_confirmed.csv,tables/maintenance/source_of_truth_likely_run_confirmed.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,NO,NO,YES,NO,
RFP-126,status,docs/status,MOVE_TO_DOCS_CANDIDATE,Documentation/status content is stored at root instead of docs/.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-127,svd_projection_test.m,_legacy/root_declutter/svd_projection_test.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-128,Switching ver12,_legacy/root_declutter/Switching ver12,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-129,tables_old,_legacy/root_declutter/tables_old,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-130,tatus,[review_needed],UNKNOWN_NEEDS_REVIEW,Ownership and destination are unclear.,HIGH,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-131,temp,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-132,temp_basic_plots_inventory.m,_legacy/root_declutter/temp_basic_plots_inventory.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-133,temp_basic_plots_probe.m,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible. Do not delete from this audit; confirm local-tooling impact first."
RFP-134,temp_basic_plots_save.m,_legacy/root_declutter/temp_basic_plots_save.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-135,temp_run_inventory.ps1,tools/maintenance/temp_run_inventory.ps1,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,NO,NO,NO,NO,
RFP-136,test_drift_check.ps1,tools/maintenance/test_drift_check.ps1,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,NO,NO,NO,NO,
RFP-137,test_drift_wrapper.bat,tools/maintenance/test_drift_wrapper.bat,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,NO,NO,NO,NO,
RFP-138,test_execution_probe.m,results/repository_audit/test_execution_probe.m,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-139,test_minimal_probe.m,results/repository_audit/test_minimal_probe.m,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-140,test_minimal_relaxation.m,_legacy/root_declutter/test_minimal_relaxation.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-141,test_minimal_run.m,_legacy/root_declutter/test_minimal_run.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-142,tmp,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-143,tmp_canonical_impl_debug.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-144,tmp_direct_canonical_err.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-145,tmp_direct_canonical_log.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-146,tmp_direct_minimal_log.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-147,tmp_io_enforcement_scan.json,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-148,tmp_parameter_robustness_matlab_log.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-149,tmp_phase4c_run.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-150,tmp_root_cleanup_quarantine,_legacy/root_declutter/tmp_root_cleanup_quarantine,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-151,tmp_run_switching_canonical_fresh.m,_legacy/root_declutter/tmp_run_switching_canonical_fresh.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-152,tmp_tau_zero_diagnosis_run.m,_legacy/root_declutter/tmp_tau_zero_diagnosis_run.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-153,Tools ver1,[review_needed],UNKNOWN_NEEDS_REVIEW,Ownership and destination are unclear.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-154,untitled.m,_legacy/root_declutter/untitled.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-155,validation_check.txt,results/repository_audit/validation_check.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-156,wrapper_diag.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-157,wrapper_output.txt,results/repository_audit/wrapper_output.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-158,wrapper_run.txt,results/repository_audit/wrapper_run.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-159,x_necessity_and_pairing_tests.m,_legacy/root_declutter/x_necessity_and_pairing_tests.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
