blocker_id,path,blocker_type,reason,evidence,required_next_step
BLK-104,run_relaxation_canonical_implementation_check_dirty_backup.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run_relaxation_canonical_implementation_check_dirty_backup.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-105,run_relaxation_measurement_canonical_self_audit.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_relaxation_measurement_canonical_self_audit.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-106,run_relaxation_measurement_focused_t0_norm_window.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_relaxation_measurement_focused_t0_norm_window.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-107,run_relaxation_temperature_scaling_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_relaxation_temperature_scaling_wrapper.m"",""infrastructure"",""run_relaxation_temperature_scaling_wrapper"",""BROKEN"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-108,run_ridge_susceptibility_analysis_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_ridge_susceptibility_analysis_wrapper.m"",""infrastructure"",""run_ridge_susceptibility_analysis_wrapper"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-109,run_ridge_temperature_susceptibility_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_ridge_temperature_susceptibility_wrapper.m"",""infrastructure"",""run_ridge_temperature_susceptibility_wrapper"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-110,run_rmse_structure_vs_scale_closure_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_rmse_structure_vs_scale_closure_wrapper.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-111,run_switching_creep_barrier_analysis_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_switching_creep_barrier_analysis_wrapper.m"",""infrastructure"",""RUN_SWITCHING_CREEP_BARRIER_ANALYSIS_WRAPPER"",""BROKEN"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-112,run_switching_creep_scaling_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_switching_creep_scaling_wrapper.m"",""infrastructure"",""RUN_SWITCHING_CREEP_SCALING_WRAPPER"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-113,run_switching_threshold_residual_structure_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_switching_threshold_residual_structure_wrapper.m"",""infrastructure"",""RUN_SWITCHING_THRESHOLD_RESIDUAL_STRUCTURE_WRAPPER"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-114,run_switching_width_roughness_competition_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_switching_width_roughness_competition_wrapper.m"",""infrastructure"",""RUN_SWITCHING_WIDTH_ROUGHNESS_COMPETITION_WRAPPER"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-115,run_threshold_distribution_model.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_threshold_distribution_model.m"",""unknown"",""Threshold Distribution Model for Switching Data"",""WORKING"",""COMPLEX"",""uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-116,run_x_vs_r_predictor_comparison_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_x_vs_r_predictor_comparison_wrapper.m"",""infrastructure"",""RUN_X_VS_R_PREDICTOR_COMPARISON_WRAPPER"",""WORKING"",""MEDIUM"",""expects observables.csv; uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-117,run_xx_relaxation_config2_chain.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run_xx_relaxation_config2_chain.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-118,run_xx_relaxation_validation.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run_xx_relaxation_validation.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-119,run2.exit,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run2.exit,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-120,run2_full.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-121,script_asset_inventory.csv,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,CSV audit/index output at root mixes tabular artifacts with source; tables/ is the better home.,"Trace ownership, provenance, and runtime usage before moving."
BLK-122,snapshot_scientific_v3,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,Directory looks like a generated snapshot/report bundle rather than root source.,"Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-123,source_of_truth_audit.csv,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,CSV audit/index output at root mixes tabular artifacts with source; tables/ is the better home.,"Trace ownership, provenance, and runtime usage before moving."
BLK-124,source_of_truth_audit_no_run_classified.csv,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,CSV audit/index output at root mixes tabular artifacts with source; tables/ is the better home.,"Trace ownership, provenance, and runtime usage before moving."
BLK-125,source_of_truth_likely_run_confirmed.csv,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,CSV audit/index output at root mixes tabular artifacts with source; tables/ is the better home.,"Trace ownership, provenance, and runtime usage before moving."
BLK-126,status,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contents are status/summary documentation, not canonical source or shared runtime layers.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-127,svd_projection_test.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""svd_projection_test.m"",""unknown"",""svd_projection_test"",""WORKING"",""MEDIUM"",""uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-128,Switching ver12,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-129,tables_old,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-130,tatus,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: # Runtime/status scratch files at repo root,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-131,temp,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-132,temp_basic_plots_inventory.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-133,temp_basic_plots_probe.m,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.","Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.",Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-134,temp_basic_plots_save.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-135,test_execution_probe.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,blocking_test_once.log :: test_execution_probe.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-136,test_minimal_probe.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""test_minimal_probe.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-137,test_minimal_relaxation.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-138,test_minimal_run.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-139,tmp,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-140,tmp_canonical_impl_debug.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-141,tmp_direct_canonical_err.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-142,tmp_direct_canonical_log.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-143,tmp_direct_minimal_log.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-144,tmp_io_enforcement_scan.json,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-145,tmp_parameter_robustness_matlab_log.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-146,tmp_phase4c_run.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-147,tmp_root_cleanup_quarantine,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-148,tmp_run_switching_canonical_fresh.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-149,tmp_tau_zero_diagnosis_run.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-150,Tools ver1,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,Root directory is not covered by the documented target structure and needs owner review.,"Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-151,untitled.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /untitled.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-152,validation_check.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: validation_check.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-153,wrapper_diag.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-154,wrapper_output.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: wrapper_output.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-155,wrapper_run.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: wrapper_run.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-156,x_necessity_and_pairing_tests.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""x_necessity_and_pairing_tests.m"",""unknown"",""x_necessity_and_pairing_tests"",""WORKING"",""MEDIUM"",""uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
