"script_path","category","purpose","status","complexity","dependencies_notes"
"results/aging/runs/run_2026_03_12_223712_aging_log_time_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_223712_aging_log_time_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_223741_aging_component_clock_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_223741_aging_component_clock_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_224309_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_224309_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_224808_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_224808_aging_timescale_extraction","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_225058_aging_component_clock_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_225058_aging_component_clock_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_225559_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_225559_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_225842_aging_component_clock_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_225842_aging_component_clock_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_225857_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_225857_aging_timescale_extraction","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_230511_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_230511_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_232904_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_232904_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_233337_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_233337_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_233710_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_233710_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_003251_aging_fm_using_dip_clock/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_003251_aging_fm_using_dip_clock","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_003818_aging_fm_using_dip_clock/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_003818_aging_fm_using_dip_clock","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_004253_aging_fm_using_dip_clock/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_004253_aging_fm_using_dip_clock","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_005134_aging_fm_using_dip_clock/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_005134_aging_fm_using_dip_clock","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_005805_aging_fm_using_extracted_dip_tau/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_005805_aging_fm_using_extracted_dip_tau","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_010148_aging_fm_using_extracted_dip_tau/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_010148_aging_fm_using_extracted_dip_tau","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_011143_aging_fm_timescale_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_011143_aging_fm_timescale_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_012211_aging_fm_timescale_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_012211_aging_fm_timescale_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_13_013634_aging_fm_timescale_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_013634_aging_fm_timescale_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_070731_tri_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_070731_tri_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_070929_tri_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_070929_tri_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_071151_tri_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_071151_tri_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_071722_tri_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_071722_tri_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_073402_TRI_cross_temperature_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_073402_TRI_cross_temperature_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_073850_TRI_clock_consistency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_073850_TRI_clock_consistency_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_074027_TRI_clock_consistency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_074027_TRI_clock_consistency_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_074415_TRI_clock_consistency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_074415_TRI_clock_consistency_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_074613_aging_clock_ratio_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_074701_TRI_clock_consistency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_074701_TRI_clock_consistency_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_075006_TRI_clock_consistency_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_075006_TRI_clock_consistency_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_130940_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_130940_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_131220_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_131220_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_131833_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_131833_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_132250_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_132250_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_132559_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_132559_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_133454_clock_ratio_temperature_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_133454_clock_ratio_temperature_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_14_152820_clock_ratio_lower_support_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_14_152820_clock_ratio_lower_support_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_16_023652_aging_clock_ratio_temperature_scaling/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_16_023652_aging_clock_ratio_temperature_scaling","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_baseline_tests/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_debug_runs/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_decomposition/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_decomposition_stability/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_diagnostics_misc/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_separability/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_legacy_svd_pca/config_snapshot.m","infrastructure","Placeholder config snapshot created during results cleanup on 2026-03-09T16:55:33.","PARTIAL","SIMPLE",""
"results/aging/runs/run_TRI_collapse_diagnostics/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_TRI_collapse_diagnostics","PARTIAL","SIMPLE",""
"results/cross_analysis/runs/run_legacy_cross_analysis/config_snapshot.m","infrastructure","Placeholder config snapshot for legacy import.","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_205157_relaxation_switching_knee_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_205157_relaxation_switching_knee_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_205502_relaxation_switching_knee_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_205502_relaxation_switching_knee_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_205656_relaxation_switching_knee_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_205656_relaxation_switching_knee_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_220218_ridge_relaxation_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_220218_ridge_relaxation_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_225732_ridge_crossover_vs_relaxation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_225732_ridge_crossover_vs_relaxation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_10_233449_simple_switching_vs_relaxation_search/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_233449_simple_switching_vs_relaxation_search","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_025420_relaxation_switching_motion_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_025420_relaxation_switching_motion_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_084425_relaxation_switching_motion_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_084425_relaxation_switching_motion_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_092014_barrier_landscape_reconstruction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_092014_barrier_landscape_reconstruction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_092333_barrier_landscape_reconstruction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_092333_barrier_landscape_reconstruction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_093235_barrier_landscape_reconstruction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_093235_barrier_landscape_reconstruction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_093251_switching_barrier_projection/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_093251_switching_barrier_projection","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_094519_switching_barrier_projection/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_094519_switching_barrier_projection","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_095852_barrier_landscape_reconstruction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_095852_barrier_landscape_reconstruction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_102520_barrier_landscape_reconstruction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_102520_barrier_landscape_reconstruction","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_111154_barrier_landscape_interpretation_review/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_111154_barrier_landscape_interpretation_review","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_111513_barrier_landscape_interpretation_review/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_111513_barrier_landscape_interpretation_review","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_111757_barrier_landscape_interpretation_review/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_111757_barrier_landscape_interpretation_review","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_203011_existing_results_state_map/config_snapshot.m","infrastructure","Repository scan configuration snapshot","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_213115_parallel_analysis_coordination/config_snapshot.m","infrastructure","config snapshot.m","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_215040_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_215040_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_215444_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_215444_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_215525_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_215525_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_215533_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_215533_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_215958_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_215958_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220110_unified_crossover_map/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220110_unified_crossover_map","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220436_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220436_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220453_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220453_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220607_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220607_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220719_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220719_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220838_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220838_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_220904_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_220904_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_221432_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_221432_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_221600_unified_crossover_map/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_221600_unified_crossover_map","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_222040_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_222040_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_222321_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_222321_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_222321_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_222321_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_222612_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_222612_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_223108_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_223108_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_223145_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_223145_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_223355_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_223355_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_223549_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_223549_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_223610_unified_crossover_map/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_223610_unified_crossover_map","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_224153_switching_collapse_kernel_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_224153_switching_collapse_kernel_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_224713_relaxation_aging_canonical_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_224713_relaxation_aging_canonical_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_225249_unified_crossover_map/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_225249_unified_crossover_map","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_230812_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_230812_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_231731_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_231731_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_232459_relaxation_tau_time_window_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_232459_relaxation_tau_time_window_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_235727_switching_collapse_asymmetry_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_235727_switching_collapse_asymmetry_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_11_235752_switching_collapse_asymmetry_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_235752_switching_collapse_asymmetry_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_004447_switching_analysis_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_004447_switching_analysis_audit","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_004513_switching_analysis_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_004513_switching_analysis_audit","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_004703_switching_relaxation_observable_comparis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_004703_switching_relaxation_observable_comparis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_004907_switching_relaxation_observable_comparis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_004907_switching_relaxation_observable_comparis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_012249_switching_relaxation_amplitude_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_012249_switching_relaxation_amplitude_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_012407_switching_relaxation_amplitude_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_012407_switching_relaxation_amplitude_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_012410_switching_relaxation_amplitude_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_012410_switching_relaxation_amplitude_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_012602_switching_relaxation_amplitude_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_012602_switching_relaxation_amplitude_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_014828_switching_ridge_linear_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_014828_switching_ridge_linear_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_015017_switching_ridge_linear_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_015017_switching_ridge_linear_test","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_074720_unified_dynamical_crossover_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_074720_unified_dynamical_crossover_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_074905_unified_dynamical_crossover_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_074905_unified_dynamical_crossover_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_075103_unified_dynamical_crossover_synthesis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_075103_unified_dynamical_crossover_synthesis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_081213_relaxation_switching_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_081213_relaxation_switching_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_081243_relaxation_switching_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_081243_relaxation_switching_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_12_084004_common_dynamical_subspace/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_084004_common_dynamical_subspace","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_001549_switching_width_relaxation_correlation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_001549_switching_width_relaxation_correlation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_002324_switching_width_relaxation_correlation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_002324_switching_width_relaxation_correlation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_002809_switching_width_relaxation_correlation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_002809_switching_width_relaxation_correlation","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_011259_switching_width_dynamics_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_011259_switching_width_dynamics_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_020134_switching_composite_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_020134_switching_composite_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_020519_switching_composite_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_020519_switching_composite_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_021053_switching_composite_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_021053_switching_composite_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_022413_switching_composite_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_022413_switching_composite_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_071713_switching_composite_observable_scan/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_071713_switching_composite_observable_scan","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_072517_ridge_motion_relaxation_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_072517_ridge_motion_relaxation_analysis","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_074018_aging_fm_switching_sector_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_074018_aging_fm_switching_sector_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_075458_aging_fm_switching_sector_link/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_075458_aging_fm_switching_sector_link","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_082430_switching_relaxation_bridge_robustness_a/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_082430_switching_relaxation_bridge_robustness_a","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_082753_switching_relaxation_bridge_robustness_a/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_082753_switching_relaxation_bridge_robustness_a","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_090347_relaxation_switching_bridge_visualizatio/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_090347_relaxation_switching_bridge_visualizatio","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_111242_motion_activity_comparison/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_111242_motion_activity_comparison","PARTIAL","SIMPLE",""
"results/cross_experiment/runs/run_2026_03_13_111257_barrier_observable_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_13_111257_barrier_observable_test","PARTIAL","SIMPLE",""
